chuc_danh,bo_phan,plannery_khau,ghi_chu
Content (Kịch bản),Vận hành - Sản xuất,content,Viết kịch bản video — vào lịch PlannerY khâu Kịch bản
Editor (Dựng video),Vận hành - Sản xuất,editor,Dựng video — vào lịch PlannerY khâu Dựng
SEO,Kinh doanh,,Tối ưu tiêu đề/mô tả/thumbnail
IT,Kinh doanh,,Kỹ thuật — hạ tầng/tool phục vụ Kinh doanh
Kế toán,Hành chính Nhân sự;Kế toán,,Kế toán (HCNS kiêm nhiệm hoặc bộ phận Kế toán riêng — DE.md mục 10)
HR,Hành chính Nhân sự,,Quản hồ sơ nhân sự
Quản lý,,,Quản lý bộ phận (mọi bộ phận — di trú V2 19/08: NS-002/003/004/017 mang vị trí này)
Quản lý kênh,Kinh doanh,,Quản lý kênh YouTube (di trú V2 19/08: NS-001)
Thủ quỹ,Hành chính Nhân sự;Kế toán,,Thủ quỹ
